,target,id_cliente,orden_nro,ciudad,monto,segmento,microsegmento,fecha_orden,fecha_de_vencimiento,fecha_de_pago,order_closed_cohort,ord_due_cohort,payment_cohort,dif_pymt_date,dow_closed,cantidad_sesiones,tiempo_promedio_navegacion,days_ultima_navegacion
30,0,-253961,69512697874938,BOG,110040.05,restaurante,cafetería,2022-10-13,2022-10-20,2022-10-19,2022-10-01,2022-10-01,2022-10-01,-1.0,3,0,0.0,60.0
31,0,-253961,162952315254632,BOG,355264.88,restaurante,cafetería,2022-10-17,2022-10-24,2022-10-24,2022-10-01,2022-10-01,2022-10-01,0.0,0,0,0.0,60.0
32,0,-253961,124369652323834,BOG,444363.58,restaurante,cafetería,2022-10-27,2022-11-03,2022-11-03,2022-10-01,2022-11-01,2022-11-01,0.0,3,0,0.0,60.0
33,0,-253943,43156734990796,BOG,296708.38,restaurante,parrilla/asadero,2022-05-14,2022-05-21,2022-05-23,2022-05-01,2022-05-01,2022-05-01,2.0,5,29,408.41379310344826,0.0
34,0,-253943,55692103504588,BOG,436930.11,restaurante,parrilla/asadero,2023-01-10,2023-01-17,2023-01-18,2023-01-01,2023-01-01,2023-01-01,1.0,1,35,366.25714285714287,0.0
35,0,-253800,36658998392829,BOG,240778.95,restaurante,na,2022-08-25,2022-09-01,2022-09-15,2022-08-01,2022-09-01,2022-09-01,14.0,3,24,517.75,0.0
36,0,-253800,66454200695886,BOG,54508.0,restaurante,na,2022-08-26,2022-09-02,2022-09-15,2022-08-01,2022-09-01,2022-09-01,13.0,4,22,507.7272727272728,1.0
37,0,-253800,32989202218768,BOG,109767.8,restaurante,na,2022-09-16,2022-09-23,2022-09-22,2022-09-01,2022-09-01,2022-09-01,-1.0,4,16,413.25,0.0
38,1,-253800,26950399341272,BOG,131325.24,restaurante,na,2022-09-17,2022-09-24,2023-02-03,2022-09-01,2022-09-01,2023-02-01,132.0,5,17,389.1764705882353,0.0
39,1,-253800,61330733141200,BOG,176210.39,restaurante,na,2022-09-22,2022-09-29,2025-12-31,2022-09-01,2022-09-01,2025-12-01,1189.0,3,25,551.6,0.0
40,0,-253739,575654425656526,BOG,152326.0,restaurante,comida especializada,2023-03-31,2023-04-07,2023-04-10,2023-03-01,2023-04-01,2023-04-01,3.0,4,31,476.1290322580645,0.0
41,0,-253739,169004541493266,BOG,178963.0,restaurante,comida especializada,2023-04-03,2023-04-10,2023-04-11,2023-04-01,2023-04-01,2023-04-01,1.0,0,37,435.8648648648648,0.0
42,0,-253734,46981752236035,BAQ,499078.11,hogar,parrilla/asadero,2022-04-08,2022-04-15,2022-04-19,2022-04-01,2022-04-01,2022-04-01,4.0,4,78,355.3333333333333,0.0
43,0,-253734,104910892585993,BAQ,409871.08,hogar,parrilla/asadero,2022-04-21,2022-04-28,2022-04-29,2022-04-01,2022-04-01,2022-04-01,1.0,3,102,343.4803921568628,0.0
44,0,-253734,291162248481885,BAQ,443679.3,hogar,parrilla/asadero,2022-05-06,2022-05-13,2022-05-11,2022-05-01,2022-05-01,2022-05-01,-2.0,4,114,311.4649122807017,0.0
45,0,-253734,27177571708350,BAQ,764088.96,hogar,parrilla/asadero,2022-05-12,2022-05-19,2022-05-20,2022-05-01,2022-05-01,2022-05-01,1.0,3,107,323.803738317757,0.0
46,0,-253734,71826783472754,BAQ,61280.09,hogar,parrilla/asadero,2022-05-13,2022-05-20,2022-05-20,2022-05-01,2022-05-01,2022-05-01,0.0,4,107,322.97196261682245,0.0
47,1,-253626,138310863003051,BOG,184509.32,restaurante,comida rápida,2022-09-12,2022-09-19,2022-11-02,2022-09-01,2022-09-01,2022-11-01,44.0,0,0,0.0,60.0
48,0,-253626,42682884152299,BOG,238806.24,restaurante,comida rápida,2022-12-14,2022-12-21,2022-12-31,2022-12-01,2022-12-01,2022-12-01,10.0,2,0,0.0,60.0
49,0,-253626,242001310115748,BOG,161786.48,restaurante,comida rápida,2023-01-13,2023-01-20,2023-01-20,2023-01-01,2023-01-01,2023-01-01,0.0,4,0,0.0,60.0
50,0,-253626,68932189767602,BOG,271452.11,restaurante,comida rápida,2023-01-25,2023-02-01,2023-02-05,2023-01-01,2023-02-01,2023-02-01,4.0,2,0,0.0,60.0
51,0,-253626,138194156351934,BOG,240544.62,restaurante,comida rápida,2023-02-14,2023-02-21,2023-02-22,2023-02-01,2023-02-01,2023-02-01,1.0,1,0,0.0,60.0
52,0,-253504,59229603375359,BOG,387738.45,restaurante,comida especializada,2022-07-06,2022-07-13,2022-07-15,2022-07-01,2022-07-01,2022-07-01,2.0,2,13,766.0,14.0
53,1,-253341,23754020198244,BOG,140635.21,restaurante,corrientazo,2022-06-08,2022-06-15,2022-12-28,2022-06-01,2022-06-01,2022-12-01,196.0,2,0,0.0,60.0
54,0,-253187,68239782654323,BOG,172843.95,hogar,panadería/pastelería,2022-06-29,2022-07-06,2022-07-08,2022-06-01,2022-07-01,2022-07-01,2.0,2,25,578.6,0.0
55,0,-253122,163138456720145,BAQ,103197.0,hogar,na,2022-08-22,2022-08-29,2022-08-28,2022-08-01,2022-08-01,2022-08-01,-1.0,0,0,0.0,60.0
56,0,-253122,18065274548141,BAQ,110787.95,hogar,na,2022-09-08,2022-09-15,2022-09-13,2022-09-01,2022-09-01,2022-09-01,-2.0,3,0,0.0,60.0
57,0,-253122,35883826252855,BAQ,96031.0,hogar,na,2022-09-22,2022-09-29,2022-09-29,2022-09-01,2022-09-01,2022-09-01,0.0,3,1,10.0,0.0
58,0,-253122,214426100824983,BAQ,174251.58,hogar,na,2022-10-14,2022-10-21,2022-10-21,2022-10-01,2022-10-01,2022-10-01,0.0,4,1,10.0,22.0
59,0,-253122,385624340834118,BAQ,129624.72,hogar,na,2022-10-28,2022-11-04,2022-11-04,2022-10-01,2022-11-01,2022-11-01,0.0,4,1,10.0,36.0
60,0,-253063,49725630571118,BAQ,135836.0,restaurante,comida rápida,2022-08-20,2022-08-27,2022-09-09,2022-08-01,2022-08-01,2022-09-01,13.0,5,34,293.38235294117646,0.0
61,0,-253063,10856265437250,BAQ,122370.3,restaurante,comida rápida,2022-09-13,2022-09-20,2022-09-21,2022-09-01,2022-09-01,2022-09-01,1.0,1,42,278.9047619047619,0.0
62,0,-253063,97296989422411,BAQ,173238.0,restaurante,comida rápida,2022-09-15,2022-09-22,2022-09-25,2022-09-01,2022-09-01,2022-09-01,3.0,3,41,285.0731707317073,0.0
63,0,-253063,28831086616160,BAQ,89365.53,restaurante,comida rápida,2022-09-28,2022-10-05,2022-10-05,2022-09-01,2022-10-01,2022-10-01,0.0,2,29,253.51724137931035,1.0
64,0,-253063,26406661133354,BAQ,137358.44,restaurante,comida rápida,2022-10-06,2022-10-13,2022-10-12,2022-10-01,2022-10-01,2022-10-01,-1.0,3,29,261.2068965517241,1.0
65,0,-252993,61689213830128,BAQ,137183.0,comercio,na,2023-07-12,2023-07-19,2023-07-20,2023-07-01,2023-07-01,2023-07-01,1.0,2,9,376.22222222222223,0.0
66,0,-252993,82061020565718,BAQ,128620.0,comercio,na,2023-07-20,2023-07-27,2023-07-31,2023-07-01,2023-07-01,2023-07-01,4.0,3,14,289.5,0.0
67,0,-252993,128785338486203,BAQ,140178.11,comercio,na,2023-07-24,2023-07-31,2023-07-31,2023-07-01,2023-07-01,2023-07-01,0.0,0,15,227.46666666666667,0.0
68,0,-252993,3050635864871,BAQ,198402.25,comercio,na,2023-08-03,2023-08-10,1899-12-30,2023-08-01,2023-08-01,1899-12-01,-45148.0,3,35,208.74285714285716,1.0
69,0,-252990,78190554997940,BAQ,275100.0,comercio,comida especializada,2023-08-14,2023-08-21,2023-08-22,2023-08-01,2023-08-01,2023-08-01,1.0,0,21,242.47619047619048,1.0
70,1,-252990,3693206188049,BAQ,287000.0,comercio,comida especializada,2023-08-25,2023-09-01,2023-09-24,2023-08-01,2023-09-01,2023-09-01,23.0,4,32,220.15625,0.0
71,0,-252759,35056898058480,BOG,68029.26,hogar,na,2023-03-10,2023-03-17,2023-03-21,2023-03-01,2023-03-01,2023-03-01,4.0,4,90,570.6444444444444,0.0
72,0,-252670,83288594994478,BOG,87285.0,restaurante,cafetería,2022-09-09,2022-09-16,2022-09-16,2022-09-01,2022-09-01,2022-09-01,0.0,4,46,639.9782608695652,1.0
73,0,-252670,85101699451201,BOG,206854.68,restaurante,cafetería,2022-09-09,2022-09-16,2022-09-16,2022-09-01,2022-09-01,2022-09-01,0.0,4,46,639.9782608695652,1.0
74,0,-252670,320797961815616,BOG,280386.02,restaurante,cafetería,2022-09-20,2022-09-27,2022-09-27,2022-09-01,2022-09-01,2022-09-01,0.0,1,49,581.795918367347,0.0
75,0,-252670,37234594447699,BOG,154488.0,restaurante,cafetería,2022-09-30,2022-10-07,2022-10-07,2022-09-01,2022-10-01,2022-10-01,0.0,4,45,542.5777777777778,1.0
76,0,-252670,37673331276015,BOG,165967.27,restaurante,cafetería,2022-09-30,2022-10-07,2022-10-07,2022-09-01,2022-10-01,2022-10-01,0.0,4,45,542.5777777777778,1.0
77,0,-252594,42262371196539,BOG,229536.5,restaurante,cafetería,2023-03-27,2023-04-03,2023-04-05,2023-03-01,2023-04-01,2023-04-01,2.0,0,0,0.0,60.0
78,1,-252594,156207336808452,BOG,147803.84,restaurante,cafetería,2023-04-03,2023-04-10,2023-04-28,2023-04-01,2023-04-01,2023-04-01,18.0,0,0,0.0,60.0
79,0,-252593,21889844722248,BOG,52853.85,restaurante,parrilla/asadero,2022-09-13,2022-09-20,2022-09-21,2022-09-01,2022-09-01,2022-09-01,1.0,1,38,539.8421052631579,0.0
80,0,-252593,6470259017963,BOG,111419.84,restaurante,parrilla/asadero,2022-09-28,2022-10-05,2022-10-06,2022-09-01,2022-10-01,2022-10-01,1.0,2,39,566.7692307692307,1.0
81,0,-252593,47216232452009,BOG,496045.18000000005,restaurante,parrilla/asadero,2022-10-17,2022-10-24,2022-10-21,2022-10-01,2022-10-01,2022-10-01,-3.0,0,41,361.6585365853659,0.0
82,0,-252593,304806830933604,BOG,192332.68,restaurante,parrilla/asadero,2022-10-26,2022-11-02,2022-11-02,2022-10-01,2022-11-01,2022-11-01,0.0,2,56,401.6607142857143,0.0
83,0,-252593,7945616092403,BOG,301100.66,restaurante,parrilla/asadero,2022-10-29,2022-11-05,2022-11-09,2022-10-01,2022-11-01,2022-11-01,4.0,5,62,436.4193548387097,0.0
84,0,-252580,7105920670993,BOG,428033.03,restaurante,corrientazo,2022-08-20,2022-08-27,2022-08-27,2022-08-01,2022-08-01,2022-08-01,0.0,5,23,268.3478260869565,2.0
85,0,-252580,58991717823511,BOG,436944.36,restaurante,corrientazo,2022-08-31,2022-09-07,2022-09-07,2022-08-01,2022-09-01,2022-09-01,0.0,2,20,237.5,0.0
86,0,-252580,60315210254571,BOG,427624.08,restaurante,corrientazo,2022-09-14,2022-09-21,2022-09-22,2022-09-01,2022-09-01,2022-09-01,1.0,2,19,211.94736842105263,3.0
87,0,-252580,139802143767194,BOG,457901.08,restaurante,corrientazo,2022-09-24,2022-10-01,2022-10-01,2022-09-01,2022-10-01,2022-10-01,0.0,5,21,214.0,1.0
88,0,-252580,15944717376537,BOG,447111.62,restaurante,corrientazo,2022-10-05,2022-10-12,2022-10-12,2022-10-01,2022-10-01,2022-10-01,0.0,2,20,230.2,2.0
89,0,-252551,52610152718463,BOG,297249.19,restaurante,na,2022-09-02,2022-09-09,2022-09-09,2022-09-01,2022-09-01,2022-09-01,0.0,4,13,571.6923076923077,1.0
90,0,-252551,78548838533557,BOG,295511.41,restaurante,na,2022-09-10,2022-09-17,2022-09-14,2022-09-01,2022-09-01,2022-09-01,-3.0,5,21,495.5238095238095,1.0
91,0,-252551,44537696929033,BOG,273613.79,restaurante,na,2022-09-17,2022-09-24,2022-09-21,2022-09-01,2022-09-01,2022-09-01,-3.0,5,24,528.7916666666666,2.0
92,0,-252551,67815136822917,BOG,485287.36,restaurante,na,2022-09-23,2022-09-30,2022-09-29,2022-09-01,2022-09-01,2022-09-01,-1.0,4,23,544.0,8.0
93,0,-252551,96531255197866,BOG,495172.9,restaurante,na,2022-10-01,2022-10-08,2022-10-07,2022-10-01,2022-10-01,2022-10-01,-1.0,5,24,515.5416666666666,0.0
94,0,-252464,123344328202734,BOG,195039.71,restaurante,corrientazo,2022-07-23,2022-07-30,2022-08-01,2022-07-01,2022-07-01,2022-08-01,2.0,5,13,499.46153846153845,2.0
95,0,-252464,6451048595531,BOG,221370.28,restaurante,corrientazo,2022-08-13,2022-08-20,2022-08-20,2022-08-01,2022-08-01,2022-08-01,0.0,5,13,451.0769230769231,2.0
96,0,-252464,65055326804782,BOG,225000.0,restaurante,corrientazo,2022-08-20,2022-08-27,2022-08-27,2022-08-01,2022-08-01,2022-08-01,0.0,5,15,451.9333333333333,1.0
97,0,-252439,37115511831405,BOG,176102.82,restaurante,cafetería,2022-06-02,2022-06-09,2022-06-21,2022-06-01,2022-06-01,2022-06-01,12.0,3,7,379.4285714285714,1.0
98,1,-252439,49934548594172,BOG,183707.0,restaurante,cafetería,2022-06-08,2022-06-15,2022-09-01,2022-06-01,2022-06-01,2022-09-01,78.0,2,8,338.625,1.0
99,0,-252439,48590187688173,BOG,275447.11,restaurante,cafetería,2022-09-16,2022-09-23,2022-09-22,2022-09-01,2022-09-01,2022-09-01,-1.0,4,44,635.5454545454545,1.0
100,0,-252433,135992450942470,BOG,184778.77,restaurante,comida especializada,2023-07-25,2023-08-01,2023-08-08,2023-07-01,2023-08-01,2023-08-01,7.0,1,27,223.5185185185185,0.0
101,1,-252433,156833591020752,BOG,285800.49,restaurante,comida especializada,2023-08-11,2023-08-18,2025-12-31,2023-08-01,2023-08-01,2025-12-01,866.0,4,39,303.56410256410254,0.0
102,1,-252413,4705174575841,BOG,67983.47,restaurante,comida especializada,2022-07-19,2022-07-26,2025-12-31,2022-07-01,2022-07-01,2025-12-01,1254.0,1,28,276.9642857142857,1.0
103,1,-252413,218996599463701,BOG,104000.59,restaurante,comida especializada,2022-07-26,2022-08-02,2025-12-31,2022-07-01,2022-08-01,2025-12-01,1247.0,1,27,283.51851851851853,1.0
104,1,-252395,77472503728442,BOG,133255.31,restaurante,corrientazo,2022-07-07,2022-07-14,2025-12-31,2022-07-01,2022-07-01,2025-12-01,1266.0,3,21,535.5238095238095,1.0
105,1,-252395,27859582538258,BOG,362841.59,restaurante,corrientazo,2023-08-23,2023-08-30,2025-12-31,2023-08-01,2023-08-01,2025-12-01,854.0,2,45,321.1555555555556,0.0
106,0,-252369,8993574450937,BOG,298594.42,duplicated,corrientazo,2022-08-03,2022-08-10,2022-08-10,2022-08-01,2022-08-01,2022-08-01,0.0,2,0,0.0,60.0
107,0,-252361,40774321951847,BOG,463372.61,restaurante,comida especializada,2022-06-14,2022-06-21,2022-06-30,2022-06-01,2022-06-01,2022-06-01,9.0,1,18,720.6111111111111,1.0
108,0,-252361,19855737166251,BOG,482378.7,restaurante,comida especializada,2022-07-18,2022-07-25,2022-07-29,2022-07-01,2022-07-01,2022-07-01,4.0,0,27,815.1481481481482,1.0
109,0,-252361,25379154288166,BOG,464510.41,restaurante,comida especializada,2022-10-04,2022-10-11,2022-10-18,2022-10-01,2022-10-01,2022-10-01,7.0,1,41,276.7073170731707,0.0
110,0,-252361,25680348399273,BOG,197619.08,restaurante,comida especializada,2022-10-04,2022-10-11,2022-10-18,2022-10-01,2022-10-01,2022-10-01,7.0,1,41,276.7073170731707,0.0
111,0,-252361,120876356719072,BOG,740859.63,restaurante,comida especializada,2022-10-25,2022-11-01,2022-11-01,2022-10-01,2022-11-01,2022-11-01,0.0,1,34,219.44117647058823,2.0
112,1,-252322,47412804147611,BOG,313903.13,restaurante,parrilla/asadero,2022-08-04,2022-08-11,2023-05-11,2022-08-01,2022-08-01,2023-05-01,273.0,3,6,63.833333333333336,7.0
113,0,-252238,124815636133348,BOG,179747.38,restaurante,comida rápida,2022-08-16,2022-08-23,2022-08-25,2022-08-01,2022-08-01,2022-08-01,2.0,1,12,538.5,4.0
114,0,-252238,9558428431208,BOG,141548.0,restaurante,comida rápida,2022-08-20,2022-08-27,2022-08-25,2022-08-01,2022-08-01,2022-08-01,-2.0,5,14,523.9285714285714,1.0
115,1,-252237,248163690295678,BOG,263048.12,restaurante,empanadas/arepas,2022-10-03,2022-10-10,2022-11-15,2022-10-01,2022-10-01,2022-11-01,36.0,0,31,463.03225806451616,0.0
116,0,-252237,251120185217711,BOG,99834.16,restaurante,empanadas/arepas,2022-12-12,2022-12-19,1899-12-30,2022-12-01,2022-12-01,1899-12-01,-44914.0,0,47,227.2765957446809,0.0
117,0,-252181,308258260049011,BOG,459195.14,restaurante,corrientazo,2022-05-17,2022-05-24,2022-05-24,2022-05-01,2022-05-01,2022-05-01,0.0,1,14,441.7857142857143,13.0
118,0,-252181,68410007189857,BOG,498265.7,restaurante,corrientazo,2022-10-20,2022-10-27,2022-11-01,2022-10-01,2022-10-01,2022-11-01,5.0,3,23,271.60869565217394,1.0
119,0,-252181,128816258677306,BOG,475222.98,restaurante,corrientazo,2023-03-04,2023-03-11,2023-03-13,2023-03-01,2023-03-01,2023-03-01,2.0,5,14,372.4285714285714,1.0
120,0,-252181,116720090651378,BOG,391380.31,restaurante,corrientazo,2023-03-25,2023-04-01,2023-04-04,2023-03-01,2023-04-01,2023-04-01,3.0,5,12,361.0833333333333,1.0
121,0,-252181,51699071405210,BOG,383610.84,restaurante,corrientazo,2023-04-06,2023-04-13,2023-04-17,2023-04-01,2023-04-01,2023-04-01,4.0,3,19,341.7894736842105,1.0
122,0,-252135,1826694298845,BOG,162339.4,restaurante,comida rápida,2022-06-25,2022-07-02,2022-07-05,2022-06-01,2022-07-01,2022-07-01,3.0,5,71,318.2112676056338,1.0
123,1,-252135,3384588577623,BOG,200718.3,restaurante,comida rápida,2022-06-29,2022-07-06,2022-08-24,2022-06-01,2022-07-01,2022-08-01,49.0,2,63,342.55555555555554,0.0
124,1,-252135,16672548818771,BOG,194416.95,restaurante,comida rápida,2022-08-26,2022-09-02,2025-12-31,2022-08-01,2022-09-01,2025-12-01,1216.0,4,43,396.1627906976744,0.0
125,0,-252132,89461436276194,BOG,291089.86,restaurante,corrientazo,2022-07-27,2022-08-03,2022-08-03,2022-07-01,2022-08-01,2022-08-01,0.0,2,17,534.2941176470588,1.0
126,1,-252132,68528252377904,BOG,438806.51,restaurante,corrientazo,2022-08-04,2022-08-11,2022-09-27,2022-08-01,2022-08-01,2022-09-01,47.0,3,15,478.0,9.0
127,1,-252084,65097993933107,BOG,607935.74,restaurante,comida especializada,2023-09-09,2023-09-16,2025-12-31,2023-09-01,2023-09-01,2025-12-01,837.0,5,382,485.8638743455497,0.0
128,1,-252084,25772168164265,BOG,384567.03,restaurante,comida especializada,2023-09-13,2023-09-20,2025-12-31,2023-09-01,2023-09-01,2025-12-01,833.0,2,402,462.07960199004975,0.0
129,0,-252043,7654866087352,BOG,250044.5,restaurante,comida rápida,2022-07-18,2022-07-25,2022-07-24,2022-07-01,2022-07-01,2022-07-01,-1.0,0,25,426.48,0.0
130,0,-252043,60361950024130,BOG,230351.92,restaurante,comida rápida,2022-07-25,2022-08-01,2022-08-01,2022-07-01,2022-08-01,2022-08-01,0.0,0,29,459.7931034482759,0.0
131,0,-252043,32544950253362,BOG,252955.0,restaurante,comida rápida,2022-07-29,2022-08-05,2022-08-11,2022-07-01,2022-08-01,2022-08-01,6.0,4,30,442.06666666666666,2.0
132,0,-252043,47835125164576,BOG,145010.2,restaurante,comida rápida,2022-08-04,2022-08-11,2022-08-11,2022-08-01,2022-08-01,2022-08-01,0.0,3,30,425.9333333333333,1.0
133,0,-252043,74722763076029,BOG,389282.6,restaurante,comida rápida,2022-08-13,2022-08-20,2022-08-29,2022-08-01,2022-08-01,2022-08-01,9.0,5,35,378.1142857142857,2.0
134,0,-251993,95321091418669,BOG,232169.64,hogar,corrientazo,2023-06-10,2023-06-17,1899-12-30,2023-06-01,2023-06-01,1899-12-01,-45094.0,5,77,186.06493506493507,0.0
135,1,-251980,74141339075231,BOG,252637.24,restaurante,comida especializada,2022-09-10,2022-09-17,2022-10-05,2022-09-01,2022-09-01,2022-10-01,18.0,5,11,334.6363636363636,23.0
136,1,-251980,46097435515745,BOG,117679.0,restaurante,comida especializada,2022-12-23,2022-12-30,2023-01-18,2022-12-01,2022-12-01,2023-01-01,19.0,4,67,477.910447761194,0.0
137,1,-251933,80437342749949,BOG,499837.21,hogar,parrilla/asadero,2022-08-05,2022-08-12,2025-12-31,2022-08-01,2022-08-01,2025-12-01,1237.0,4,47,563.3617021276596,0.0
138,0,-251897,14427791892246,BOG,68063.78,restaurante,corrientazo,2022-09-08,2022-09-15,2022-09-14,2022-09-01,2022-09-01,2022-09-01,-1.0,3,5,153.0,0.0
139,0,-251897,133758740426744,BOG,89278.34,restaurante,corrientazo,2022-09-15,2022-09-22,2022-09-21,2022-09-01,2022-09-01,2022-09-01,-1.0,3,7,297.7142857142857,0.0
140,0,-251897,6207567225348,BOG,7733.279999999999,restaurante,corrientazo,2022-09-28,2022-10-05,2022-10-05,2022-09-01,2022-10-01,2022-10-01,0.0,2,25,617.72,0.0
141,0,-251897,24243683848779,BOG,107501.77,restaurante,corrientazo,2022-09-29,2022-10-06,2022-10-05,2022-09-01,2022-10-01,2022-10-01,-1.0,3,26,594.6538461538462,0.0
142,0,-251897,100124195048871,BOG,77547.54,restaurante,corrientazo,2022-10-07,2022-10-14,2022-10-14,2022-10-01,2022-10-01,2022-10-01,0.0,4,36,494.3888888888889,0.0
143,0,-251888,20958866028114,BOG,281088.95,restaurante,na,2022-11-30,2022-12-07,2022-12-07,2022-11-01,2022-12-01,2022-12-01,0.0,2,13,602.4615384615385,1.0
